% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,157,8,3,3,52.3333333333,2.66666666667,52.3333333333,2.66666666667,0,2,133,365653376.88,-39116281.3984,valid
1,383,2,1,1,383.0,2.0,383.0,2.0,0,1,58,934797422.168,-9238581.89109,valid
2,152,84,2,2,76.0,42.0,76.0,42.0,0,2,34,166868538.92,-412203108.174,valid
1,107,2,1,1,107.0,2.0,107.0,2.0,0,1,58,257621336.818,-9655526.08914,valid
4,552,55,4,4,138.0,13.75,138.0,13.75,0,2,154,1219658915.55,-269445270.49,valid
4,848,85,4,4,212.0,21.25,212.0,21.25,0,3,157,1872296365.09,-416281875.656,valid
1,371,2,1,1,371.0,2.0,371.0,2.0,0,1,19,905380143.376,-9282142.33484,valid
7,442,93,7,7,63.1428571429,13.2857142857,63.1428571429,13.2857142857,0,2,155,856460689.099,-456101238.739,valid
2,21,21,2,2,10.5,10.5,10.5,10.5,0,2,28,0.0,-103051014.871,valid
4,64,18,4,4,16.0,4.5,16.0,4.5,0,2,132,112886360.965,-88300084.3754,valid
2,1942,7,2,2,971.0,3.5,971.0,3.5,0,2,63,4747270703.22,-31101896.2047,valid
2,135,6,2,2,67.5,3.0,67.5,3.0,0,2,64,316484713.548,-29224227.2603,valid
4,338,57,4,4,84.5,14.25,84.5,14.25,0,2,131,689415250.445,-279306186.207,valid
10,672,223,10,10,67.2,22.3,67.2,22.3,0,2,183,1101861757.23,-1094048421.7,valid
1,335,2,1,1,335.0,2.0,335.0,2.0,0,1,63,816972167.531,-9254926.58799,valid
2,20,20,2,2,10.0,10.0,10.0,10.0,0,2,30,0.0,-98160965.1756,valid
4,1088,57,4,4,272.0,14.25,272.0,14.25,0,2,131,2529453378.7,-278058908.081,valid
3,329,6,3,3,109.666666667,2.0,109.666666667,2.0,0,2,133,792655972.208,-29124386.8326,valid
6,779,95,6,6,129.833333333,15.8333333333,129.833333333,15.8333333333,0,3,157,1678441135.31,-465456527.663,valid
3,118,92,3,3,39.3333333333,30.6666666667,39.3333333333,30.6666666667,0,2,51,63797358.6662,-451451428.788,valid
1,107,2,1,1,107.0,2.0,107.0,2.0,0,1,58,257621336.818,-9655526.08914,valid
1,482,2,1,1,482.0,2.0,482.0,2.0,0,1,63,1177617538.78,-9008358.18986,valid
1,99,2,1,1,99.0,2.0,99.0,2.0,0,1,34,238041538.741,-9718105.44303,valid
2,405,6,2,2,202.5,3.0,202.5,3.0,0,1,16,979087574.311,-28969986.856,valid
10,302,89,10,10,30.2,8.9,30.2,8.9,0,2,155,522710969.856,-436605692.562,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,34,0.0,-58885581.1394,valid
9,393,1975,9,9,43.6666666667,219.444444444,43.6666666667,219.444444444,0,3,158,-3882247176.43,-9694999306.86,valid
1,243,2,1,1,243.0,2.0,243.0,2.0,0,1,19,591318738.627,-9466780.27558,valid
1,742,2,1,1,742.0,2.0,742.0,2.0,0,1,63,1815493705.62,-8572250.81903,valid
3,405,10,3,3,135.0,3.33333333333,135.0,3.33333333333,0,3,64,969081099.624,-48406004.9521,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,22,0.0,-19632322.7881,valid
4,686,57,4,4,171.5,14.25,171.5,14.25,0,2,131,1543196840.66,-278731347.861,valid
4,593,57,4,4,148.25,14.25,148.25,14.25,0,2,131,1315026431.19,-278880328.779,valid
1,203,2,1,1,203.0,2.0,203.0,2.0,0,1,58,493160844.766,-9510502.02025,valid
2,28,28,2,2,14.0,14.0,14.0,14.0,0,2,30,0.0,-137425399.434,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,34,0.0,-58885581.1394,valid
1,155,2,1,1,155.0,2.0,155.0,2.0,0,1,63,375365590.487,-9556847.07549,valid
1,147,2,1,1,147.0,2.0,147.0,2.0,0,1,58,355762798.463,-9595099.39377,valid
1,1082,2,1,1,1082.0,2.0,1082.0,2.0,0,1,58,2649819464.41,-8182625.38949,valid
1,8,12,1,1,8.0,12.0,8.0,12.0,0,1,4,-9816333.73398,-58901857.5039,valid
1,295,2,1,1,295.0,2.0,295.0,2.0,0,1,4,719052506.302,-9540090.67778,valid
1,127,2,1,1,127.0,2.0,127.0,2.0,0,1,58,306692067.64,-9625312.74146,valid
4,157,12,4,4,39.25,3.0,39.25,3.0,0,2,132,355836355.369,-58751772.325,valid
3,70,57,3,3,23.3333333333,19.0,23.3333333333,19.0,0,2,153,31902744.8496,-279748121.43,valid
4,270,49,4,4,67.5,12.25,67.5,12.25,0,2,162,542343230.697,-240274100.816,valid
1,151,2,1,1,151.0,2.0,151.0,2.0,0,1,63,365552110.997,-9563556.41965,valid
1,402,2,1,1,402.0,2.0,402.0,2.0,0,1,19,981441889.838,-9237425.33356,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,34,0.0,-19628527.0465,valid
5,297,632,5,5,59.4,126.4,59.4,126.4,0,3,103,-822092909.613,-3102222733.12,valid
1,2827,2,1,1,2827.0,2.0,2827.0,2.0,0,1,58,6931240728.67,-5546510.80396,valid
1,1597,2,1,1,1597.0,2.0,1597.0,2.0,0,1,63,3913124946.58,-7138128.5034,valid
2,606,261,2,2,303.0,130.5,303.0,130.5,0,1,2,846660463.607,-1280703289.32,valid
6,558,141,6,6,93.0,23.5,93.0,23.5,0,2,164,1023335444.27,-691621336.403,valid
1,1047,2,1,1,1047.0,2.0,1047.0,2.0,0,1,58,2563945685.47,-8235498.74794,valid
1,942,2,1,1,942.0,2.0,942.0,2.0,0,1,58,2306324348.66,-8394118.82329,valid
3,398,55,3,3,132.666666667,18.3333333333,132.666666667,18.3333333333,0,2,131,841521240.389,-269382996.821,valid
4,748,85,4,4,187.0,21.25,187.0,21.25,0,3,157,1626909827.9,-416400059.32,valid
4,1188,59,4,4,297.0,14.75,297.0,14.75,0,2,131,2769884029.77,-287711185.124,valid
10,562,249,10,10,56.2,24.9,56.2,24.9,0,2,155,768114830.203,-1221798667.64,valid
1,622,2,1,1,622.0,2.0,622.0,2.0,0,1,58,1521192655.5,-8877532.38625,valid
4,462,57,4,4,115.5,14.25,115.5,14.25,0,2,131,993635334.266,-279100416.174,valid
1,251,2,1,1,251.0,2.0,251.0,2.0,0,1,28,611054008.004,-9563381.72868,valid
1,1127,2,1,1,1127.0,2.0,1127.0,2.0,0,1,19,2760305315.17,-8191624.49734,valid
14,1153,427,14,14,82.3571428571,30.5,82.3571428571,30.5,0,2,181,1781652956.38,-2095091551.99,valid
5,111,77,5,5,22.2,15.4,22.2,15.4,0,2,163,83437380.5685,-377888610.149,valid
3,61,205,3,3,20.3333333333,68.3333333333,20.3333333333,68.3333333333,0,2,51,-353346385.313,-1006219006.99,valid
1,255,2,1,1,255.0,2.0,255.0,2.0,0,1,58,620744744.904,-9431947.31627,valid
23,3801,1236,23,23,165.260869565,53.7391304348,165.260869565,53.7391304348,1,2,185,6294638833.01,-6063935029.94,valid
12,679,380,12,12,56.5833333333,31.6666666667,56.5833333333,31.6666666667,0,2,155,733758986.041,-1864772334.07,valid
9,693,1257,9,9,77.0,139.666666667,77.0,139.666666667,1,2,158,-1384080635.96,-6170032337.33,valid
1,772,2,1,1,772.0,2.0,772.0,2.0,0,1,58,1889223136.66,-8650932.27861,valid
3,26,38,3,3,8.66666666667,12.6666666667,8.66666666667,12.6666666667,0,2,132,-29448449.2125,-186520236.398,valid
2,346,280,2,2,173.0,140.0,173.0,140.0,0,1,41,161937911.823,-1373923131.23,valid
1,437,2,1,1,437.0,2.0,437.0,2.0,0,1,58,1067288395.39,-9157005.85234,valid
1,263,2,1,1,263.0,2.0,263.0,2.0,0,1,63,640329536.713,-9375694.78299,valid
5,629,84,5,5,125.8,16.8,125.8,16.8,0,3,157,1337358473.28,-411636347.131,valid
4,1003,57,4,4,250.75,14.25,250.75,14.25,0,2,131,2320915418.02,-278199960.12,valid
2,734,4,2,2,367.0,2.0,367.0,2.0,0,2,41,1791142620.64,-18587402.472,valid
1,28,20,1,1,28.0,20.0,28.0,20.0,0,1,21,19632331.4175,-98153610.8369,valid
2,131,6,2,2,65.5,3.0,65.5,3.0,0,2,64,306671234.058,-29230936.6045,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,22,0.0,-19632322.7881,valid
3,122,115,3,3,40.6666666667,38.3333333333,40.6666666667,38.3333333333,0,2,153,17178375.0845,-564422780.596,valid
2,270,5,2,2,135.0,2.5,135.0,2.5,0,2,64,650143016.203,-24089328.5287,valid
4,261,10,4,4,65.25,2.5,65.25,2.5,0,2,133,615966401.116,-48830687.5246,valid
2,184,90,2,2,92.0,45.0,92.0,45.0,1,2,9,230688161.548,-441654087.876,valid
2,24,32,2,2,12.0,16.0,12.0,16.0,0,1,55,-19628527.188,-157040067.559,valid
2,100,96,2,2,50.0,48.0,50.0,48.0,0,2,47,9815417.80389,-471123740.75,valid
2,14,11,2,2,7.0,5.5,7.0,5.5,1,2,1,7361832.38698,-53983147.6114,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,34,0.0,-19628527.0465,valid
5,861,438,5,5,172.2,87.6,172.2,87.6,0,2,49,1038052824.87,-2149296683.17,valid
3,229,6,3,3,76.3333333333,2.0,76.3333333333,2.0,0,2,138,547251939.815,-29225079.2915,valid
1,1152,2,1,1,1152.0,2.0,1152.0,2.0,0,1,58,2821567022.29,-8076878.67259,valid
5,86,61,5,5,17.2,12.2,17.2,12.2,0,2,155,61351247.8968,-299369149.725,valid
4,1192,57,4,4,298.0,14.25,298.0,14.25,0,2,131,2784608408.38,-277889028.074,valid
2,406,4,2,2,203.0,2.0,203.0,2.0,0,1,3,986541549.635,-19245239.4895,valid
5,872,91,5,5,174.4,18.2,174.4,18.2,0,3,157,1916466469.92,-445709785.921,valid
1,375,2,1,1,375.0,2.0,375.0,2.0,0,1,63,915106962.43,-9187833.14632,valid
7,274,93,7,7,39.1428571429,13.2857142857,39.1428571429,13.2857142857,0,2,155,444181719.704,-456270265.462,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,34,0.0,-19628527.0465,valid
4,382,57,4,4,95.5,14.25,95.5,14.25,0,2,131,797367013.757,-279235872.345,valid
3,79,70,3,3,26.3333333333,23.3333333333,26.3333333333,23.3333333333,0,2,61,22085844.2687,-343504071.532,valid
3,86,71,3,3,28.6666666667,23.6666666667,28.6666666667,23.6666666667,0,2,153,36810708.4345,-348459069.428,valid
1,71,99,1,1,71.0,99.0,71.0,99.0,0,1,30,-68703775.991,-485871390.355,valid
% 
% 
% 
